Year,Sales(In ThousandDollars)
1,3157.315
2,592.4753529
3,1154.574353
4,3338.56
5,615.6313529
6,1206.722471
7,4127.521
8,699.0853529
9,1218.219176
10,4221.722
11,762.7557059
12,1259.390412
13,4333.557
14,787.6090588
15,1311.123529
16,4033.02
17,831.266
18,1533.049
19,3819.72
20,765.1774118
21,1409.506294
22,3985.541
23,936.3154118
24,1324.762471
25,4065.703176
26,1353.657529
27,1134.282824
28,4331.714529
29,914.0324706
30,1267.196176
31,4461.751353
32,836.9657647
33,1417.898412
34,5302.588
35,1063.606706
36,1776.550529
