Year,Sales(In ThousandDollars)
1,3001.967613
2,750.9012069
3,1876.43441
4,3022.567223
5,771.5008163
6,1897.034996
7,3043.168785
8,792.1014022
9,1917.634605
10,3063.768394
11,812.7010116
12,1938.235191
13,3084.368004
14,833.3015975
15,1958.834801
16,3104.967613
17,853.9012069
18,1979.43441
19,3125.568199
20,874.5008163
21,2000.034996
22,3146.166832
23,895.1014022
24,2020.634605
25,3166.768394
26,915.7010116
27,2041.235191
28,3187.368004
29,936.3015975
30,2061.834801
31,3207.96859
32,956.9012069
33,2082.43441
34,3228.569176
35,977.5008163
36,2103.034996
